Sport,Rank,variable,value,Archery
Lacrosse,14,Hand-Eye-Coordination,7.13,False
Martial Arts,6,Hand-Eye-Coordination,6.0,False
Racquetball/Squash,22,Hand-Eye-Coordination,8.38,False
Rodeo: Bull/Bareback/Bronc Riding,42,Hand-Eye-Coordination,3.63,False
Rodeo: Calf Roping,40,Hand-Eye-Coordination,6.38,False
Rodeo: Steer Wrestling,15,Hand-Eye-Coordination,5.13,False
Roller Skating,52,Hand-Eye-Coordination,2.88,False
Rowing,39,Hand-Eye-Coordination,2.88,False
Rugby,13,Hand-Eye-Coordination,4.38,False
Shooting,58,Hand-Eye-Coordination,6.75,False
Skateboarding,37,Hand-Eye-Coordination,4.88,False
Ski Jumping,29,Hand-Eye-Coordination,4.38,False
Skiing: Alpine,11,Hand-Eye-Coordination,5.13,False
Skiing: Freestyle,25,Hand-Eye-Coordination,4.13,False
Skiing: Nordic,30,Hand-Eye-Coordination,3.63,False
Soccer,10,Hand-Eye-Coordination,6.5,False
Speed Skating,17,Hand-Eye-Coordination,2.88,False
Surfing,23,Hand-Eye-Coordination,4.38,False
Swimming (all strokes): Distance,36,Hand-Eye-Coordination,2.88,False
Swimming (all strokes): Sprints,45,Hand-Eye-Coordination,2.75,False
Table Tennis,47,Hand-Eye-Coordination,8.88,False
Team Handball,26,Hand-Eye-Coordination,7.88,False
Tennis,7,Hand-Eye-Coordination,8.38,False
Track and Field: Distance,40,Hand-Eye-Coordination,1.88,False
Track and Field: High Jump,33,Hand-Eye-Coordination,3.5,False
"Track and Field: Long, Triple jumps",34,Hand-Eye-Coordination,4.0,False
Track and Field: Middle Distance,43,Hand-Eye-Coordination,2.13,False
Track and Field: Pole Vault,16,Hand-Eye-Coordination,5.25,False
Track and Field: Sprints,38,Hand-Eye-Coordination,2.63,False
Track and Field: Weights,48,Hand-Eye-Coordination,4.0,False
Volleyball,20,Hand-Eye-Coordination,7.25,False
Water Polo,11,Hand-Eye-Coordination,6.25,False
Water Skiing,46,Hand-Eye-Coordination,4.13,False
Weight-Lifting,44,Hand-Eye-Coordination,2.25,False
Wrestling,5,Hand-Eye-Coordination,4.25,False
Archery,55,Analytical-Aptitude,3.25,True
Auto Racing,32,Analytical-Aptitude,7.5,False
Badminton,30,Analytical-Aptitude,6.13,False
Baseball/Softball,9,Analytical-Aptitude,6.25,False
Basketball,4,Analytical-Aptitude,7.38,False
Billiards,59,Analytical-Aptitude,5.75,False
Bobsledding/Luge,28,Analytical-Aptitude,4.25,False
Bowling,57,Analytical-Aptitude,4.13,False
Boxing,1,Analytical-Aptitude,5.63,False
Canoe/Kayak,49,Analytical-Aptitude,4.25,False
Cheerleading,52,Analytical-Aptitude,2.25,False
Curling,56,Analytical-Aptitude,5.63,False
Cycling: Distance,20,Analytical-Aptitude,4.88,False
Cycling: Sprints,27,Analytical-Aptitude,4.5,False
Diving,35,Analytical-Aptitude,3.0,False
Equestrian,54,Analytical-Aptitude,5.13,False
Fencing,24,Analytical-Aptitude,6.88,False
Field Hockey,17,Analytical-Aptitude,6.5,False
Figure Skating,19,Analytical-Aptitude,4.25,False
Fishing,60,Analytical-Aptitude,2.88,False
Football,3,Analytical-Aptitude,7.13,False
Golf,51,Analytical-Aptitude,6.38,False
Gymnastics,8,Analytical-Aptitude,4.13,False
Horse Racing,50,Analytical-Aptitude,6.5,False
Ice Hockey,2,Analytical-Aptitude,7.5,False
Lacrosse,14,Analytical-Aptitude,6.88,False
Martial Arts,6,Analytical-Aptitude,6.88,False
Racquetball/Squash,22,Analytical-Aptitude,6.5,False
Rodeo: Bull/Bareback/Bronc Riding,42,Analytical-Aptitude,3.13,False
Rodeo: Calf Roping,40,Analytical-Aptitude,3.75,False
Rodeo: Steer Wrestling,15,Analytical-Aptitude,4.0,False
Roller Skating,52,Analytical-Aptitude,2.63,False
Rowing,39,Analytical-Aptitude,3.63,False
Rugby,13,Analytical-Aptitude,5.63,False
Shooting,58,Analytical-Aptitude,4.0,False
Skateboarding,37,Analytical-Aptitude,3.13,False
Ski Jumping,29,Analytical-Aptitude,3.5,False
Skiing: Alpine,11,Analytical-Aptitude,5.63,False
Skiing: Freestyle,25,Analytical-Aptitude,3.88,False
Skiing: Nordic,30,Analytical-Aptitude,3.88,False
Soccer,10,Analytical-Aptitude,7.5,False
Speed Skating,17,Analytical-Aptitude,3.5,False
Surfing,23,Analytical-Aptitude,4.88,False
Swimming (all strokes): Distance,36,Analytical-Aptitude,3.0,False
Swimming (all strokes): Sprints,45,Analytical-Aptitude,3.0,False
Table Tennis,47,Analytical-Aptitude,6.0,False
Team Handball,26,Analytical-Aptitude,5.88,False
Tennis,7,Analytical-Aptitude,6.75,False
Track and Field: Distance,40,Analytical-Aptitude,4.13,False
Track and Field: High Jump,33,Analytical-Aptitude,2.88,False
"Track and Field: Long, Triple jumps",34,Analytical-Aptitude,3.13,False
Track and Field: Middle Distance,43,Analytical-Aptitude,3.75,False
Track and Field: Pole Vault,16,Analytical-Aptitude,3.75,False
Track and Field: Sprints,38,Analytical-Aptitude,2.38,False
Track and Field: Weights,48,Analytical-Aptitude,2.88,False
Volleyball,20,Analytical-Aptitude,5.88,False
Water Polo,11,Analytical-Aptitude,5.63,False
Water Skiing,46,Analytical-Aptitude,3.25,False
Weight-Lifting,44,Analytical-Aptitude,2.38,False
Wrestling,5,Analytical-Aptitude,6.38,False
